"标题和要求
","范文
","","分析
","考试类型","附件"
"@@Should the Use of Credit Cards Be Encouraged?@@

1. 现在越来越多的大学生使用信用卡

2. 人们对于大学生使用信用卡的看法

3. 我的看法
","Should the Use of Credit Cards Be Encouraged?

In a time when peoplepay almost everythingwith cards, credit cardshave become an inseparable part ofpeople's daily life. More and more college students, especially those who have been on the course of earning money for a more enjoyable life, show more interest in purchasing, especially online purchasing,with credit cards.

People show different opinions about using credit cards. It is argued by some people that college students should be encouraged to use credit cards. They think that using credit cards is a good way to train young adults who are ready to take more personal responsibility for their financial decisions such as how and when to pay the money back. Besides, managing the credit cards will not only enable them to earn a good credit record, but enhance their abilities of dealing with problems caused by excessive overdraft.On the other hand,some other people hold the opposite opinion that college students should not be encouraged to use credit cards since many young people might make bad financialdecisions, fail to pay bills on time and fall into high credit card debt.

As for me, Ithink for thosewho can managetheir finance very well, they can choose to use credit cards. But for those who are not good at controlling themselves, it is unwiseto encourage them touse credit cards.
","","题目中已经给出提纲，考生只需要按照提纲完成作文即可。 本文语言规范、结构清晰。第一段描述了年轻人使用信用卡现象的出现。第二段列出了对此现象人们所持有的两种不同观点，一种观点认为应该鼓励使用信用卡，因为可以锻炼年轻人在财政决策方面更加成熟；另一种观点认为大学生自控能力差，使用信用卡可能会使他们陷入麻烦。最后一段作者的观点是自控能力强的学生可以选择使用信用卡，而自控能力差的学生使用信用卡是很不明智的。
","写作（六级笔试）",""
"@@How to Deal with Teenage Obesity@@

1. 中国青少年肥胖比例升高

2. 出现这种现象的原因

3. 我认为该如何解决这一问题
","How to Deal with Teenage Obesity

BMI,or body mass index, is one common standard to judge whether a person is overweight or not. Normal weight requires the value of BMI shouldn't overrun 25. Recently, the phenomenon that over10 percent of teenagers' value of BMI has exceeded 30 has aroused wide concern,because obesity is harmful to teenagers'physical healthand can lead to illness or increasing risk of death.

As is known to all, many factors could contribute to obesity. Admittedly, lack of physicalexercise and overeating are the main causes of obesity. On the one hand, nowadays, with the stress of everyday learning and examinations, teenagers have serious psychological stress. Therefore, they have no choice but to spendthe majority of their time focusing on their studyand have no enoughtime to do outdoor activities. On the other hand, parents always hold the opinion that the heavy school work might cause malnutrition. As a result, they usually provide their childrenwithtoo much nutritious food, which also gives rise to the problem of obesity.

In my opinion, first of all, teenagers should be aware of the fact that obesity does harm totheirhealth seriously. They should take care of their body and strike a proper balance between work and rest. Secondly, teachers and parents have responsibility for leaving teenagers somefree timeto take exercise. Last butnot least, the whole society must attach importance to this problem and take measures in time. Only in this way can teenagers bekeptaway from obesity and have a healthy and happy life.
","","本文结构清晰，论证简洁。首先用一个术语开头，并作出科学定义。然后引用数据来说明肥胖问题的严重性。其次作者分析导致青少年肥胖比例升高的最主要原因是缺乏运动和过度饮食。在最后一个段落作者指出只有青少年、家长和老师，以及整个社会共同关注肥胖问题并采取相应的策略，才能最终解决这一社会问题。
","写作（六级笔试）",""
"@@Robots with Artificial Intelligence@@

1. 人工智能机器人在许多领域得到利用
2. 利用人工智能机器人的利与弊
3. 我的看法
","Robots withArtificialIntelligence

Ever since robots with artificial intelligence were invented, they have been used for jobs in various fields. Therefore, some people believe that they will be able to do all the things that we humans can do. However, in my opinion, as every coin has two sides, so it is in the case of robots. They have their own pros and cons.

Robots with artificial intelligence can assist human society in various ways. First, with robots, people will be free from manual labor and have more time for more scientific studies as well as leisure pursuits. Second, robots can take the place of humans in dangerous working conditions. They can work on the sea bed, in the mines and even in outer space.

However, we should not turn a blind eye to the disadvantages of using robots with artificial intelligence. Unemployment which results from applying robot labor will lead to many social problems, or even social instability. Moreover, as robots only do what they are taught or programmed, theymight be abused by those obsessed with unrighteous ambitions and schemes. In that case, world peace would be seriously endangered.

To summarize, there are both pros and cons to the usage of robots with artificial intelligence. If they can be properly operated and put to good ends, they will definitely become a decisive force leading us humans to a better future. Otherwise, people will have to be trapped in the problems caused by the misusage of robots with artificial intelligence.
","","此作文属于对比选择类文章，并且题目中已经给出提纲。在结构上，考生需要按照提纲首先概述利用智能机器人的利与弊。在重点段落（即二、三两段）分别列举利与弊的例子，例如智能机器人可以代替人类从事危险工种，但也有可能被别有用心的人所利用进行破坏活动。最后一段可用简短语言进行观点的论述。在语言上，学生应注意“利与弊”在文章中出现的频率，advantages and disadvantages，pros and cons或downsides可轮流出现以避免词汇上的单一。六级写作的重点还应体现在复合句的使用上，学生要注意不要过多使用单句。
","写作（六级笔试）",""
"@@On College Students' Freedom@@
1. 大学生享有很大的自由
2. 过多的自由对大学生来说有利有弊

3. 我的观点
","On College Students' Freedom

Compared with high school students, college students enjoy much more freedom. They get a lot of timeat their own disposal, they have diverse courses to choose from, and they can also make decisions on their daily affairs.

If the students can make good use of this freedom, they may benefit a lot in many aspects. For students who have particular interest in some subjects, they may pursue further study in those fields. For students who are keen in social work, they can join various organizations or associations to develop and display their abilities. And for students who want to support themselves, they may take some part-time jobs to make money.

On the other hand,excessive freedom can also have negative influence on college students. Faced with so much free time and so many choices, some students may get puzzled. Some of them may feel overwhelmed or aimless due to too many courses they register for or various activities they get involved in.Moreover, some students even get lost in the face of too much liberty. Eventually, they willbe spoiled and lose their self-control. As a result, they may become addicted to computer games or idle away their precious time in various meaningless entertainments.

As a college student, I think two things may help us take full advantage of freedom. First, we must set up clear goals for life and study, and learn to prioritize things. Second, we should realize that freedom means responsibility. We have to be rational in every single decision that we make. In this way freedom can make our college life more colorful and more meaningful.
","","此作文属于描述现象、表述自己观点类文章。题目中已经给出提纲，考生只需要按照提纲把现象描述清楚，把自己的观点陈述清楚即可。 本文语言规范，结构清晰。作者开门见山地指出大学生享有很大自由的现象，从时间、课程选择和日常事务的决定权方面体现自由；接着阐述自由可以让大学生受益匪浅，也可能对大学生有负面影响，并通过举例的方法使读者对自由的利和弊留下深刻印象；最后，作者点明自己的观点，第一，大学生要树立明确的生活、学习目标，学会权衡轻重，分清轻重缓急；第二，要意识到自由意味着责任，做决定时应该理智。做到这两点，自由会令大学生活丰富多彩而又充实。
","写作（六级笔试）",""
"@@On Garbage Sorting@@

1. 垃圾问题越发凸显，很多人不进行垃圾分类

2. 垃圾不分类的原因

3. 为了保护环境，我的提议
","On Garbage Sorting

Many Chinese cities are now facing the problem of growing piles of trash, and the misconception of ""garbage is useless"" makes the situation even worse. People seldom sort their garbage into categories, which brings more trouble to garbage disposal, recycling and environment protection.

The traditional way of burning or burying garbage in landfillsis partly to blame. It hasmisled the public and made the people thinkthere was no use sorting the garbage. People lack the basic knowledge that different types of garbage, includingkitchen waste, recyclable material or others, could be processed in different ways. They know little aboutthewaysto sort the garbage and the significance to recycle and utilize it. Lack of funds is another reason. The investment in community infrastructure is not sufficient, which causes the lack ofrecycle bins.

Garbage sorting is beneficial to both the environment and people's health in the long run. Efforts should be made by the government, the community and the public to promote the notion of garbage sorting and recycling, not only for the sake of the environment but also for the sustainable development of the society.A nationwide garbage campaign should be launched. Green posters with instructions on how to separatedifferent types of garbage should be put up in public places, and garbage-sorting brochures should be sent out to popularize this constructive idea.

With the joint efforts of the government and the people, garbage sorting can be implemented successfully and our environment will become better and more habitable.
","","本文思路清晰，论据充分。首先作者由城市中的垃圾问题引出了讨论的话题：人们很少将垃圾进行分类。其次作者从人们的环保意识缺失以及社区基础设施建设不足等方面进行了分析，从而找出了垃圾不分类的原因。随后作者强调了垃圾分类的重要性，并且提出了切实可行的相关建议。最后作者总结全文，通过政府和人民的共同努力，环境将会变得更好，更适合人们居住。在语言上，本文衔接手段使用恰当，使得文章行文流畅，思路清晰。
","写作（六级笔试）",""
"@@What Should People Do to Live a Low-Carbon Life?@@

1. 低碳的概念

2. 倡导低碳的必要性

3. 实现低碳生活的种种途径
","What Should People Do to Livea Low-Carbon Life?

Low carbon is a very popular term nowadays. It generally means the output of greenhouse gas emissions into the atmosphere is controlled at the minimal level.This gasspecifically refers to carbon dioxide.

Recently, many scientists as well as the public have concluded that human beings are responsible for much of the carbon dioxide that has mounted up in the atmosphere.Too much carbon dioxide will contribute to global warming andclimatechangein the foreseeable future.We have every reason to try to live a low-carbon life,forit is an urgent responsibility for everyone on Earth.

Actually there are a lot of things we can do to live a low-carbon life. We can walk or take a bus instead of driving a car so as to decrease the emission of automobile exhausts. We should try to save energy in every aspect of our life for many things canproducecarbon dioxide in an indirect fashion. For example, we should turn out the light or shutoff other electric appliances whenwe leave the room. We should try toreduce the use of napkinswhen we have meals and use the handkerchief instead. Anyway, if we pay more attention to the details in life, we can find many ways to live a low-carbon life andstop the deterioration ofour environment.
","","本文属于说明类文章。作者首先说明低碳的概念，即把释放到大气中的温室气体，主要是二氧化碳气体，控制到最低。然后在第二段中说明倡导低碳的原因，即人们如果现在不采取行动，将导致气候变化。第三段说明我们怎样才能实现低碳，其实从身边的小事情做起就能起作用。文章中除有极少量科普词汇外，其他文字通俗易懂，行文流畅，结构清晰。
","写作（六级笔试）",""
"@@No Longer ""Shopping""@@

1. 购物已经不再是因需求所驱动，而成为一种休闲方式

2. 分析这种转变产生的原因

3. 休闲购物的弊端是……
","No Longer ""Shopping""

In this worldof greater material wealth, shopping is viewed not only as a meansof obtaining daily necessities, but also as a popular leisure activity. Many people feel an impulse to go to supermarkets, shopping malls and online stores when they are in a good or bad mood, and they often spend more than they earn on things they don't really need.

There are several reasons for this growing interest in shopping. In the first place, fast economic development has allowed a greater variety of commodities to be produced, displayed and sold. A shopper planning to buy some food in the supermarket may bring home clothes and many other things that he likes rather than needs. Also, many shopping venues have provided entertainment and service facilities that make people's shopping experience more comfortable and enjoyable. For example, some large shopping centers provide baby-sitting services to young mothers who can then take time to enjoy a day-long, relaxing shopping trip.

It seems that people's being free and able to shop whatever and wherever they like is an indication of wealth and prosperity, and by encouraging consumption and production, the whole world's economy will improve. However, the negative impacts of modern consumerism should not be overlooked.It is a pity to see unrestrained shopping replacing healthier activities of visiting the park, going to the church and regular community gathering. What's more, the more one shops, the more packaging waste one produces and thisposes a threat to the environment.
","","本文就一个现象引出一个话题，然后对此进行分析，并且理性地指出潜在的问题。从语言上看，本文用词丰富，短语和句式的使用都非常灵活。从结构上看，本文条理清晰，论点和论据相辅相成，并且作者能恰当地使用关联词和连接手法，使得整个文章行文自然，逻辑严谨。最后，文章还能跳出表面现象，剖析现象背后的深层次问题。
","写作（六级笔试）",""
"@@Which Is Better, Individualism or Team Spirit?@@

1. 当今社会，个性化与团队精神已成为人们热烈讨论的话题

2. 有人支持个性化，有人支持团队精神

3.我的观点
","Which Is Better, Individualism or Team Spirit?

Nowadays, individualismandteam spiritare in hot discussion across the society. On the wayto success, which is better, individualism or team spirit?

Some people uphold individualism. They believe that individualism is a social outlook that these individualists are so independent and self-reliant that they can set their own goals and desires and oppose most external interference in their own interests, whether by society, family or any other people. What's more, individualists think they can develop well by their own and form better characters.

Meanwhile, others attach importance to team spirit. They believe that four eyes can see more than two and people can benefit a lot from mutual discussion. In a team, everyone plays their own role, and can work just like an assembly line making full use of their superioritiesand maximizingeffectiveness. Moreover,there is asaying that every man hashis faults.In spite ofthe factthat team members are not the best of all and have their weaknesses, teamspirit can overcome these shortcomings and helpthem get improvement altogether.

As far as I am concerned, I side with the latter opinion. Don't treat others as the fifth wheel of a coach. Team spirit can not onlyhelppeople understand each other much better, but also build friendship, which will bring their potentials into full play.To conclude, onlywhen people buildupteamspirit, can they reach the most harmonious win-win goal. In other words, teamspiritis much better than individualism.
","","此作文属于对比选择类文章，并且题目中已经给出提纲，考生只需要按照提纲写出支持的理由、反对的理由、自己的观点即可。本文语言规范，结构清晰。作者首先指出现象，开门见山地对相关争议的背景做简单介绍；其次，有人赞成个性化，列举他们支持的理由，如能独立自主地制定目标而不受外界干扰，促进个人发展，培养良好性格等；有人反对个性化，而支持团队精神，列举他们的理由，如集体力量大，可以优势互补等；最后，作者点明自己支持团队精神，给出了两个理由：尺有所短寸有所长，团队情谊激发潜力等。
","写作（六级笔试）",""
"@@Is Job-hopping Beneficial for Individual Development?@@
在职场中，跳槽是非常普遍的现象：
1. 有人认为跳槽有利于个人发展
2. 相反，有人认为跳槽不利于个人发展
3. 我认为……
","Is Job-hopping Beneficial for Individual Development?

Job-hopping, as a common phenomenon in the society, has been a focus of people's attention. Some people think that job-hopping is beneficial for personal development in the long run, because it will enrich one's work experience, broaden one's professional horizons, and stimulate one's pursuit of personal perfection. What's more, job-hopping will help foster one's positive attitude toward work and optimistic outlook as well.

Conversely, other people hold the view that job-hopping will not do any good to personal development. If people pay their attention merely to changing jobs, how can they concentrate on the present job? Without working hardtoday, how can they expect to have a successful career tomorrow? Only when one devotes himself to the present job whole-heartedly can he achieve the goal of advancing personal development.

Personally, I agree on the first viewpoint. In my perspective, job-hopping does not mean being absent-minded in the present job. On the contrary, it means one should commit himself to the present job, trying to make full use of the golden opportunity to learn from and practice in working, and digging out one's full potential. Then, when the time comes, one can consider changing for another jobwhere one can learn more, benefit more and contribute more.Therefore, a virtuous circle forms that will benefit personal development greatly.
","","此作文是一篇对比选择类的议论文，题目中已经给出提纲，考生需要按照提纲写作。 本文整体结构清晰、选词准确、观点鲜明。针对跳槽是否有利于个人发展这一社会热点问题，作者分析了人们的两种观点。正方认为跳槽可以丰富人的工作经历，拓宽人的视野，并能激发人追求个人的完善。而且，跳槽还有助于培养积极的工作态度和人生观。反方则认为如果一个人的注意力总是关注于跳槽，那他就无法专心于本职工作。没有今天工作的努力，就不可能有明天事业上的成功。最后，作者表明赞同第一种观点，指出跳槽并不意味着对本职工作三心二意，而是一个良机，可以在工作中不断学习和实践，充分发掘自己的潜力。等机会来临时，可以考虑换一个能学到更多、对自身更有益的工作。因此，跳槽有助于个人发展，这是一个良性循环的过程。
","写作（六级笔试）",""
"@@Western Holidays in China@@

1. 现在不少西方节日（如圣诞节、情人节等）在中国很流行

2. 不同的人对此有不同的观点

3. 我的观点
","Western Holidays in China

Some Western holidays are very popular in China nowadays and the most popular one might be Christmas. Each year after mid-December, wherever you go, you can see snowflakes, bells, stockings, decorated Christmas trees and smiling Santa Clauses.Besides, recent years have also seen many things of heart shapes such as chocolates, flower bunches, or other various gifts in Spring Festival, not because the traditional celebrations have been changed, but because the Valentine's Day is approaching. In China, the Valentine atmosphere created by media has evengone further than that in Western countries.

With increasing Chinese natives joining in the celebrations of differentWestern holidays each year, some people worry that traditional Chinese holidays, most of which areof many centuries long standing, might bereplaced and that the faith and love toward traditional Chinese holidays, particularly among the youth, will fade away gradually.However, some other people argue that with the internationalization and globalization of the world, it is a trend that many important holidays in different cultures are going to merge themselves into other cultures.

In my opinion, it is a sign both of the natural process of cultural selection and of social development that Western holidays are celebrated in China. Though warmly celebrated, Western holidays would never take the place of traditional Chinese holidays. Take Christmas for example, it would never be celebrated in its original religious way in China. For most Chinese, it has always been a relaxing party time for teachers and students, friends and coworkers, lovers and shopping-goers who would like to take advantage of the sales. On the other hand, Chinese culture has developed to a desirable degree—while welcoming cultures from other peoples and nations, ithas alsobeenwelcomed by many other cultures. It should be a blessing for human world to become more and more unified in a diversified way.
","","本文属于针对社会现象发表观点的文章。第一段描述了中国人过圣诞节和情人节的景象，形象地说明西方节日在中国流行的现象。第二段是人们对此现象的不同观点：有人认为西方节日可能破坏中国传统节日，表现出担心；也有人认为随着世界的国际化与全球化趋势，许多节日都在发展成为世界节日。第三段是作者观点：中国庆祝一些西方节日是社会发展的一种表现，节日并不具有外来文化的味道，而更多是给家人朋友团聚、情人浪漫甚至打折购物提供了机会，国人不会因此丢失了自己的节日传统和节日精神。文章语言规范、地道，论述条理清晰。
","写作（六级笔试）",""
"@@Should Video Monitors Be Used in Schools?@@

1. 很多学校（甚至幼儿园）开始安装视频监控器
2.这种做法的利弊
3. 我对此现象的看法
","Should Video Monitors Be Used in Schools?

Increasingly, schools in our country have begun to use video monitors to help record students' daily life at school. The chief aim of doing this is to keep them safe on campus. Even some kindergartens in the cities began to follow suit.

There arepros and cons of video monitors installed in school. With the help of video cameras, parents would be able to learn more about their kids' actions at school and the schools may better monitor the students' as well as the teachers' behaviors. In this case, for fear of being discovered through the video,people will try to restrain theirinappropriate behaviors. It seemsto be able to helpproduce a safe educational environment. However, the installation of video monitors may reinforce distrust between the students and schools. Feeling suspected or spied may do harm to the students' enthusiasmand may even destroy their trust in others, thus damaging the educational or even social atmosphere.

Considering the controversial effects of video monitors, I take the view that the schools should give a second thoughtto the necessity and the proper areas to install the video cameras before putting it into action. Meanwhile, it might be necessary for them to strengthen the education of trustamong students so as to avoidthe side effects as much as possible.
","","此作文属于探讨问题类文章，并且题目中已经给出提纲，考生只需要按照提纲写出校园使用视频监控器的现象, 可能带来的好处和可能导致的后果，同时表明自己对此现象的看法即可。 本文语言规范、地道，结构清晰。作者首先指出现象，开门见山地对其背景做简单介绍。其次，分析了使用视频监控器带来的好处，如家长可以更多地了解孩子的在校情况，校方也可以更好地监管学生和老师的行为，由此可避免一些不当行为的发生；同时分析了这种严密的监管行为可能导致教育信任危机的发生，学生本身热情削弱和对别人缺乏信任感，最终将损害教育甚至社会氛围。最后作者对此提出自己的看法，建议校方在安装视频监控器前应对其必要性和适当的安装位置多加考虑，同时应加强对学生的信任教育以尽可能多地避免负面影响。
","写作（六级笔试）",""
"@@Should Some Classics Be Removed from Chinese Textbooks?@@

1.最近几年，很多省份的高中语文教材都删除了很多经典作品

2.有人认为应该删除这些经典作品

3.我的看法
","Should Some Classics Be Removed from Chinese Textbooks?

In recent years, a lot of classicshave beenremoved from high school Chinese textbooks in some provinces, which include some famous short stories and essays by the late, great writers likeLu Xun and Zhu Ziqing. These changes have brought a nationwide debate.

Some peopleside with the perspectivethat classic content should be removed and give way to contemporary literature. They think textbooksought toupdate with the times. Some classics seem too complicated and difficult for teenagers to fully understand and appreciate. It makes sense for textbooks tocontainsome content that is related with contemporary society, politics, economics and arts, rather than Lu Xun's essays about the society in the 1930s.

As far as I am concerned, some classicsshould not be removed from textbooks. For one thing, the classics, including Lu Xun's, are still relevantfor today's youth to learn. They not only depict the society in the past centuries, but teach us about honesty, integrity, courage and dignity, which are fundamental virtues for a human being at all times. For another, the classicsselected intotextbooks have been proved highly effective and successful in the Chinese language and literature education over the years.In addition,some contemporary literature will probably become outdated in a few years. All in all, any change to school textbooks should be carefully considered.
","","此文属于阐述观点类议论文。 题目中已经给出提纲，考生只需要按照提纲描述一下现象、写出有些人的看法和理由、自己的观点即可。 本文语言规范、结构清晰。作者第一段指出现象，开门见山地对相关争议的背景做简单介绍，并说这种现象引起了全国范围内的讨论，很自然地过渡到下一段。第二段说有人认为应该删除这些经典作品，并列举了理由，如教材应该与时俱进、有些经典作品很难被现代的学生所理解和欣赏等。第三段阐述了作者自己的观点，认为不应该删除这些经典作品，也给出两点理由。第一，这些经典作品尽管描述的是过去几个世纪的事情，但是对现代的年轻人仍然有启迪作用，可以教给他们诚实、正直、勇气和尊严等美德。第二，这些经典作品都经过了时间的考验，证明它们在汉语语言和文学教学方面是成功的。最后，作者用一句话总结自己的观点：教材的任何变动都应该经过深思熟虑。
","写作（六级笔试）",""
"@@On Credit Cards@@

1.越来越多的人开始使用信用卡

2.使用信用卡的原因

3.如何合理地使用信用卡，我认为……
","On Credit Cards

Credit cards are instruments issued by banks or credit unions to customers to enable them to acquire goods, services or cash on credit. There is no doubt that using credit cards has already become a new fashion as a result of the industrial revolution and development of information technology.

Here are some reasons why the use of credit cards has become modern people's lifestyle. First of all, it is of great convenience. When shopping by credit cards, what we need to dois just passing the credit card to the assistant instead of having a hard time seeking the cash and waiting for the change. Everything will be finished within seconds by keying in the password. In addition, when we are confronted withsome emergencies and lack of money, the card allows us to withdraw a certain amount of money and pay it back later. Last but not least, using credit cards provides us a chance to enjoy more bank services even if we have no bank savings. If we behave honestly as what we promised when applying for the card, the bank or the credit institutions will grant us more benefits.

Although credit cards are becoming a more acceptable part of the financial sector, there are still some issues that we have to pay attention to. One is excessive consuming. Along with installment plans, rental and leasing schemes, credit cards provide encouragement to spend more money. Some people willgive into the temptation to live beyond their means. Another isthe declineof personal credit. Only byusingcredit cardsin a rational way can wekeep good creditand avoid unnecessary troubles.
","","这是一篇就现象分析原因，并给出建议的文章。本文结构清晰，论证详实。首先，作者在第一段对信用卡进行定义，并且指出使用信用卡日渐成为一种趋势；接下来，作者分析了使用信用卡的好处，分别从便利、应急和获取优质服务等方面进行了阐述；最后，作者也很冷静地指出了使用信用卡应当注意的两个问题，一个是过度消费，还有一个是信用危机，从而提醒人们应当合理地使用信用卡。
","写作（六级笔试）",""
"1. 克隆技术越发成熟

2. 关于人类克隆，有人支持，有人反对

3. 我的观点
","My View on Human Cloning

The past decade has been seeing the rapid development of cloning technology. Ever since the birth of the first cloned sheep in Great Britain in 1996, numerous reports about species cloning have brought continuous good news to not only the scientific field but also the average readers.

However, when we talk about human cloning, people's attitude varies. On the one hand, for some infertile couples, cloning represents the only hope of having a child carrying their genes. Besides, human cloning technology contributes to combating some fatal diseases and makes the organ transplant easier than before.As the organs are genetically identical between the patient and its cloned copy, there is no need for doctors to worry about organ donation or the blood-type match in surgery.

On the other hand, the hypothesis of human cloning also brings a great panic to society. Human cloning is a radical challenge to the most fundamental laws of ethics. It causes chaos to traditional human relationship, because it is really hard to define the cloned copy. A son? A brother? Or another self? What's more, to clone a person would violate human dignity.

As far as I am concerned, it is urgent to call for a comprehensive ban on human cloning. The species on the earth have their own law of evolution andour society also has its own law of being harmonious, so we should try to adapt to them rather than manipulate them.
","","本文结构清晰，首先在第一段简单介绍克隆技术的发展和人们对其认识的普及。接下来的两个段落分别论述了人们对于人类克隆所持的两种态度——支持和反对，然后一一列举了理由分别论证，最后给出了自己的选择和建议。从语言上看，本文用词非常灵活，能够自如地使用长短句、复合句等句式，并且运用了大量的关联结构，使得整个文章的论述逻辑性强，条理清楚。
","写作（六级笔试）",""
"@@Empty-Nest Families@@

1. 城市里的空巢家庭越来越多

2. 分析这种现象产生的原因

3. 我认为如何解决这个问题
","Empty-Nest Families

An empty-nest family is one with an elderly person living alone or with his or her spouse. Statistics show there are 20 to 30 percent empty-nest families in big cities, and the percentage is as high as 40 percent in small towns. Most empty nesters are people aged around 60 to 80. But there is a tendency that a growing number of people aged between 40 and 60 are now empty nesters.

Many reasons account for this serious social problem in China today. First of all, the single-child family planning policy has created mini family structure as family members are decreasing. Most middle-aged Chinese are parents of the first single-child generation. Usually the single childrenwere the center of the families. Thus their moving-out causes not only the change of the family structure but also a great sense of loss to their parents. Besides, heavy burdens have forced the young generations to focus more on their work. Thus their parents are more likely to become ""empty-nest"" senior citizens because they have less time to stay at home even if they choose to live together with their parents. What's more, the new generation of only sons or only daughters has grown up and most of them choose to work in metropolises far from their hometowns and families, which causes the physical impossibility of living with parents.

As far as I am concerned, community centers should host seminarswhich helpparents figure out how to move forward since they cannot drastically change the situation. Meanwhile, children shouldkeep in touch with their parents to maintain a harmonious and warm familyhood. Besides, in view of the fact that most of the empty nesters have retired, it is meaningful for them to take up some activities such as traveling, hiking, reading rather than being trapped in the empty nest.
","","本文是一篇出色的议论文。首先作者对相关话题进行定义，解释了什么是“空巢家庭”，同时引用一组数字来强调当今社会的空巢率在上升。其次，在第二段里，作者从三方面剖析了这种现象产生的原因，他们分别是计划生育政策、工作压力以及人生追求。最后作者针对空巢家庭增多的现象提出了自己的建议，他认为社区、空巢父母以及孩子们的共同努力会改善这种现象。
","写作（六级笔试）",""
"Should college students make the cosmetic surgery?

1. 随着明星效应的增强，越来越多的人更加关注自己的容貌。很多大学生加入了整容的行列。

2.有的人支持，有的人反对。

3.我认为……
","As the wealthy population expand in china - and as the pubilcis overwhelmed by celebrity culture - people are becoming more conscious of their appearance and are willing to spare no effort to to enhance them. Recently, more and more college students stand in the line of cosmetic surgery, especially for some seniors.
Some people are of the view that the cosmetic surgery is the key to wealth and love for college student. They could improve their appearance to find better opportunities at work and in marriage. As the college students are approaching a highly competitive society, they regard appearance as a weapon and a means of power. Meanwhile, others take an opposite stand, firmly believing that those who want to change their appearance fail to establish a system to evaluate themselves. Moreover, the surgery runs the high risk of failure or even death.
As far as I am concerned, the latter opinion holds more weight. The beauty looked at with eyes does not last forever. Instead of concentrating on the appearance, we should concentrate on inner beauty. Although certain jobs require physical beauty, there are many and maybe tremendous of jobs that need people who are specialized.
","","本位是一篇对比观点的作文。采用三段式。从社会热点现象出发，简短的说明了出现这个现象的原因。在第二段明确对比了支持者和反对者的态度，最后一段总结全文，提出自己的观点。亮点用法“are willing to spare no effort to enhance them”，“ fail to establish a system to evaluate themselves”。
","写作（六级笔试）",""
"@@Being a Volunteer@@

1. 近年来中国涌现出了大批志愿者

2. 加入志愿者的意义

3. 如何才能成为一名成功的志愿者
","Being a Volunteer

The past decade has witnessed a growing number of volunteers flooding into different industries. We are happy to see that the volunteers are of different ages and from all walks of life, such as graduates, white-collars and celebrities, etc.

Being a volunteer is of great significance. Firstly, it helps promote peace and development. Most of the volunteers are inspired by thebelief that volunteerism is a powerful means of solving development problems.The combined efforts can be a significant force for local citizens to achieve peace and development. Secondly, even if the volunteering assignment is fairly short, it can have a long-term impact on the volunteers themselves. The ability to create fortune is one thing and the activity to explore the inner human nature is another. It has been proved by many volunteers that the experience helps them become mature. They have gotmore responsibility-orientedinstead of being blindly in pursuit of wealth.

As far as I am concerned, an integrated life needs at least the experience of being a volunteer once. To be a successful volunteer, we should first bear the concept into our mind that it is an experiencewhich focuses more on the social development than personal profits. Sacrifice and hardshipare inevitable. In addition, we should combine our skills and knowledge with the volunteering project and be full of passion.
","","从提纲上，看本题要求考生描述现象、进行分析以及给出建议。本文词汇运用非常灵活，使用了大量具体而精准的词汇和短语，并且句式结构丰富，论证严谨。尤其是在第二段的论证中，总分结合，环环相扣，而且能在句子内和句子之间恰当地使用各种衔接手法，显得整个文章思路缜密，逻辑严谨。
","写作（六级笔试）",""
"@@My View on Package Traveling@@

1.人们经常会选择跟随旅行社去旅游

2.分析这种现象产生的原因

3.我的看法
","My View on Package Traveling

As the New Year and Spring Festival approach, many people couldn't resist the temptation of touring during the holidays. When finalizing the traveling schedule, the majority of them would turn to travel agencies for help.

Choosingtravel agencies would make the whole trip economical because all the members travel as a whole and they may share the expenses of transport, accommodation and meals. There is no need for each one to rent a van and most hotels, bus companies and restaurants would make more discounts for package travelers than individual travelers. Besides, package traveling aimsat convenience so that travel agencies would prepare everything in advanceto make the whole trip easier and simpler. All the information they have accumulated serves as invisible tips and could help visitors get the most out of their tour. What's more, package traveling provides travelers with more chances to make friends and adds more joys to the whole trip.

Nonetheless, I am still in favor of self-service traveling even though package traveling is the mainstream option, because we may easily find the shortcomings of the latter. For instance, in order to keep pace with the whole group, an individual member sometimes has to give upvisiting his favorite spots and scenic sites. By contrast, self-service traveling wouldenable us to fully enjoy the sightseeingas long aswe prepare in advance, gather necessary information and make a detailed plan.
","","本文是一篇出色的议论文。首先指出一种现象：在节日来临时，很多人都选择随团旅游。其次，在第二段里，作者从经济、便利和交友等方面剖析了这种现象产生的原因。最后，作者给出了自己的观点：他认为随团旅游也有很多不如意、不尽兴的地方；同时，作者认为如果准备充分的话，自助游也不失为一种很好的选择。在本篇例文中，作者的语言自然流畅，用词恰当，使用了丰富的词汇和短语；同时，文章结构清晰，恰当地使用了关联词语，尤其是第二段分别从三个方面一一展开分析和论述，使得文章流畅自然。
","写作（六级笔试）",""
"1. 目前“自助游”是一种时尚，年轻人出去旅行经常会选择“自助游”。

2. 分析“自助游”的好处和弊端。

3. 你的看法。
","Self-help Traveling

Nowadays, self-help traveling is becoming a trend among young people. It means travelers themselves arrange travel route, travel time, and any other matters during travelling, without the help of guide and team leader. Statistics show that over 80% of college students prefer self-help traveling to following a tour group.
","","","写作（六级笔试）",""
